,MAE,RMSE,R,Lag
2014/15,1.703,2.668,0.95,3.0
2015/16,1.601,2.712,0.929,16.0
2016/17,1.323,2.041,0.938,-25.0
2017/18,2.812,5.494,0.972,8.0
Average,1.86,3.229,0.947,13.0
