,Fold1,Fold2,Fold3,Fold4
loss,4.53655188962033,4.370606735115303,6.800552888430354,7.838983205526438
mae,4.5365519523620605,4.370606422424316,6.800552845001221,7.838983058929443
mse,167.6151580810547,154.5678253173828,197.30198669433594,278.1720275878906
rmse,12.40344524383545,12.286880493164062,14.385039329528809,15.963244438171387
pearson,0.5407112836837769,0.5023037791252136,0.36584460735321045,0.3250538110733032
val_loss,2.633216142654419,3.215315341949463,2.3003172874450684,5.8633832931518555
val_mae,2.633216142654419,3.215315341949463,2.3003172874450684,5.8633832931518555
val_mse,12.631606101989746,17.750085830688477,14.794185638427734,138.26376342773438
val_rmse,3.5540971755981445,4.213085174560547,3.8463211059570312,11.758561134338379
val_pearson,0.8373215198516846,0.802032470703125,0.8273239731788635,0.7688013315200806
