,2014/15_0,2015/16_0,2016/17_0,2017/18_0,2014/15_1,2015/16_1,2016/17_1,2017/18_1
MAE,2.5591579451051865,3.085567323532449,2.121180231784569,5.164630292937346,1.7264344728834222,2.4942597432774782,1.5549487427569284,3.5044774974776054
RMSE,3.445057542499396,4.777109875589466,2.439621096231757,8.670853323461436,2.6571432943175073,3.793909747699416,1.9112145448449274,6.35552013986393
R,0.8761029656838187,0.7942194940152376,0.9207781307204992,0.9253506835499177,0.9384746793016268,0.8994124282072697,0.9498013353100871,0.9763043880608862
