,ATTENTION_14_2014/15_0,ATTENTION_14_2014/16_0,ATTENTION_14_2014/17_0,ATTENTION_14_2014/18_0,ATTENTION_14_2014/15_1,ATTENTION_14_2014/16_1,ATTENTION_14_2014/17_1,ATTENTION_14_2014/18_1,ATTENTION_14_2014/15_2,ATTENTION_14_2014/16_2,ATTENTION_14_2014/17_2,ATTENTION_14_2014/18_2,ATTENTION_14_2014/15_3,ATTENTION_14_2014/16_3,ATTENTION_14_2014/17_3,ATTENTION_14_2014/18_3,ATTENTION_14_2014/15_4,ATTENTION_14_2014/16_4,ATTENTION_14_2014/17_4,ATTENTION_14_2014/18_4,ATTENTION_14_2014/15_5,ATTENTION_14_2014/16_5,ATTENTION_14_2014/17_5,ATTENTION_14_2014/18_5,ATTENTION_14_2014/15_6,ATTENTION_14_2014/16_6,ATTENTION_14_2014/17_6,ATTENTION_14_2014/18_6,ATTENTION_14_2014/15_7,ATTENTION_14_2014/16_7,ATTENTION_14_2014/17_7,ATTENTION_14_2014/18_7,ATTENTION_14_2014/15_8,ATTENTION_14_2014/16_8,ATTENTION_14_2014/17_8,ATTENTION_14_2014/18_8,ATTENTION_14_2014/15_9,ATTENTION_14_2014/16_9,ATTENTION_14_2014/17_9,ATTENTION_14_2014/18_9
MAE,1.9038267928582282,2.6584235620129273,5.743612588730391,6.048057789248334,1.8491654748195583,2.868809514746633,2.0229473920564742,4.161808342531601,1.9449660346332844,2.9387090335272448,4.279759667178845,4.627345122740793,1.8623113197553647,3.5736910248185376,2.010935292492952,4.733853953237878,2.2879396224479627,2.3713785466649253,1.722296892897159,4.461068835672007,3.807509604158862,2.5906028889865116,5.238247353140712,3.6000060899913353,2.090641079546499,3.074915603062883,2.141374648095269,3.757343283295325,7.94044396990411,8.327631932589773,2.4192338867245806,4.92363424682843,2.2641765055171126,3.4071621139114665,1.864841493792382,3.9599132420924286,1.89772370316977,2.9188620845167144,1.924143698980261,4.144449732248232
RMSE,2.6388726421708704,3.7032506430892758,7.3848629467162406,11.210044102563334,2.625547572434621,4.064100870402972,2.529710983755822,8.21015475588648,2.8007304333208367,4.273762981334099,5.628945613761103,8.671774044954514,2.3911034978541132,4.371830916690963,2.5899375283657284,8.232731689500817,3.4623376362241434,3.433203202828967,2.1953609546568833,7.561320807614114,5.673066701692877,3.5276003861392073,6.259786453571156,5.881916302746021,3.0883935415895234,4.410224748482676,3.1843992632768585,6.484656866519771,10.025978476733487,10.651921351388747,3.5919738806394848,9.251035943172678,2.8396634326104917,4.231576085450415,2.5023072131217647,6.481392927829583,2.8496571622365905,4.337751184032206,2.5434665184121275,7.181124067191191
R,0.9176019152258912,0.8490929992507776,0.8788217911414022,0.9118014029419689,0.9274709070389995,0.8232028894244525,0.8888055713211015,0.9668339419278139,0.8941151857879452,0.8656730629558387,0.8244691168002245,0.9520006780273397,0.9330495376873206,0.8741950498073611,0.8578032757007241,0.9476872363192491,0.8983849489731317,0.863835110798982,0.9016592734306108,0.9469519454758173,0.9257418742214669,0.8532414871218827,0.8856927377607212,0.9590730441264029,0.9223272056551538,0.8631724089839908,0.8747868382258717,0.9394186792748085,,,0.815431725609298,0.931134355504615,0.9273908850853964,0.8405262613087071,0.9070452036290646,0.9635606569068416,0.9378109517880003,0.8825593525902136,0.8821336963918703,0.9607171837953219
