,2014/15,2015/16,2016/17
MAE,56.1353186631765,72.29415256972995,28.629222333347723
RMSE,64.33423330811812,75.79472974604587,32.90377905135187
R,0.4662394676634854,-0.0797292109599906,-0.22235552354677035
