,GRU_7_2014/15,GRU_7_2014/16,GRU_7_2014/17,GRU_7_2014/18,GRU_14_2014/15,GRU_14_2014/16,GRU_14_2014/17,GRU_14_2014/18,GRU_21_2014/15,GRU_21_2014/16,GRU_21_2014/17,GRU_21_2014/18,ATTENTION_7_2014/15,ATTENTION_7_2014/16,ATTENTION_7_2014/17,ATTENTION_7_2014/18,ATTENTION_14_2014/15,ATTENTION_14_2014/16,ATTENTION_14_2014/17,ATTENTION_14_2014/18,ATTENTION_21_2014/15,ATTENTION_21_2014/16,ATTENTION_21_2014/17,ATTENTION_21_2014/18,ENCODER_7_2014/15,ENCODER_7_2014/16,ENCODER_7_2014/17,ENCODER_7_2014/18,ENCODER_14_2014/15,ENCODER_14_2014/16,ENCODER_14_2014/17,ENCODER_14_2014/18,ENCODER_21_2014/15,ENCODER_21_2014/16,ENCODER_21_2014/17,ENCODER_21_2014/18
MAE,2.089954461714721,1.6783649633504167,6.068436606807438,3.3698155730562895,2.2741285269117313,2.4704034178611525,2.7066106318513006,4.3523628820494435,2.4495279159938073,2.701586900471851,2.8913959571786663,5.939426832678358,7.94044396990411,2.3099790928272235,2.6587617614594543,3.2784582363676735,1.7761291318278674,3.3521560934270616,2.252183970191952,3.259479623059384,2.096885330043605,4.347364168400143,2.4614511704456747,6.385490509273092,1.5593594312667847,2.3762998580932617,2.779733419418335,4.2935638427734375,1.9239612817764282,3.266305446624756,1.9903182983398438,5.580833435058594,3.2772839069366455,3.6916720867156982,2.153193950653076,6.136813640594482
RMSE,2.7284758836533607,2.5525419983373316,7.878158737997071,6.193417819367307,3.4974966558514122,3.366351093981913,3.4889506872101537,7.076344850354614,3.325667506477732,3.857959028914861,3.9998557682365137,10.725709329029096,10.025978476733487,3.3880370279168637,3.418888280424274,5.325464879770838,2.595815970915258,5.0966569633196945,3.1445199449621986,4.535643264385144,3.0660923187743183,6.463613305106249,3.2009331214878207,11.461019830576037,2.3338332176208496,3.6025302410125732,4.182353973388672,9.658660888671875,3.12009859085083,4.7773118019104,3.1886281967163086,10.442646026611328,5.289215564727783,5.748616695404053,3.2819690704345703,12.060351371765137
R,0.949315933481924,0.9634558163164456,,0.9813759334232952,0.9206910461538648,0.913818748757006,0.8668951705545251,0.9435290419200699,0.8549561754925435,0.8797357895193744,0.7449228423549152,0.8440591882718783,,0.9216143912818082,0.9152335331675817,0.9445058859784151,0.9434331648209788,0.9090351260838485,0.7999336832396461,0.9509856086112987,0.8742444690852367,0.7760242961240119,0.8183433147334261,0.9028103303113627,0.9493963973418517,0.9301078023013648,0.8249059477672883,0.9090351438361187,0.9327042766093252,0.9198140397926498,0.8453487498525132,0.8641601600556357,0.8149796727240276,0.832229250966735,0.7936443605045902,0.9411961719091597
