,GRU_7_2014/15,GRU_7_2014/16,GRU_7_2014/17,GRU_7_2014/18,GRU_14_2014/15,GRU_14_2014/16,GRU_14_2014/17,GRU_14_2014/18,GRU_21_2014/15,GRU_21_2014/16,GRU_21_2014/17,GRU_21_2014/18
MAE,0.22776325516236035,0.21879447621338224,0.27683305676709374,0.6288363491066218,0.23417687148061253,0.2946542652485466,0.32379075565788584,0.5048701415304568,0.23846578681864425,0.4734510816044342,0.3127814975301127,0.7012569209032048
RMSE,0.3637779785020193,0.33088244587958165,0.4831460645540412,1.2357052917597422,0.3399646412463872,0.4719100772979678,0.44222664235270054,0.835037639344853,0.40573649646734766,0.7046186641178249,0.5330848484776217,1.1992640108118124
R,0.974926912808006,0.9060653148093095,0.9580200430863068,0.911531112348938,0.9693014091617554,0.7943952056900068,0.9449254837872962,0.9192939777304322,0.9715457216694181,0.6639689046374354,0.917262048564865,0.8054031709562648
