,MAE,RMSE,R,Lag
2014/15,4.344,6.393,0.859,6.0
2015/16,4.092,6.515,0.837,27.0
2016/17,2.315,3.531,0.919,-12.0
2017/18,7.458,13.859,0.915,16.0
Average,4.552,7.574,0.883,15.0
