,2014/15_0,2015/16_0,2016/17_0,2017/18_0,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2,2016/17_2,2017/18_2
MAE,1.7804970683745,2.456381688482062,1.586129601950894,3.5021360548518183,1.769745218832276,2.47278200277319,1.5002496312995057,3.5832993731708442,1.7907933926329391,2.4957951298590997,1.413367892841504,3.5375655998635778
RMSE,2.703517041655663,3.721395360343755,1.9549963352807165,6.2602043239880985,2.672322471528173,3.78159997012458,1.869351587498728,6.430797177094423,2.662715816557444,3.861797714599716,1.7754703425649343,6.468592256276981
R,0.9400249908322391,0.9019224586568884,0.9491215683942006,0.9733271638767704,0.9389945441546662,0.9035812165183086,0.9473791785092718,0.9739983767008432,0.9381252075767119,0.903810590787485,0.9483991459634034,0.9737675736959012
