,loss,mae,mse
0,780.381682303777,6.624837398529053,203.80526733398438
1,730.1995342145109,5.348746299743652,170.04959106445312
2,707.8821921612091,5.179660320281982,160.55641174316406
3,691.9476040036047,5.264795303344727,156.2401885986328
4,676.0695962461288,5.163058280944824,148.53021240234375
5,664.4881546571689,5.222267150878906,145.90234375
6,653.0755722267313,5.238575458526611,142.91064453125
7,645.3779369423735,5.117944717407227,140.10289001464844
8,633.3001512631696,5.223570823669434,138.2257843017578
9,626.4078872459249,5.177518367767334,136.61732482910156
10,617.2184973042774,5.1515278816223145,135.03176879882812
11,610.0937531092314,5.036003589630127,133.77633666992188
12,603.4831504338904,4.993773937225342,132.6644744873047
13,596.3767015222195,4.999942302703857,132.9502410888672
14,591.4894670920447,4.926451206207275,129.64306640625
15,584.5952088891006,4.984654903411865,130.66407775878906
16,579.1684563340284,4.868833065032959,129.1918487548828
17,573.0136970315093,4.946475028991699,128.80120849609375
18,568.2998868654304,4.944886684417725,129.83285522460938
19,562.3490535763171,4.807415008544922,125.00572967529297
20,557.4063590869156,4.7881317138671875,125.55435943603516
21,551.8838735016897,4.875936985015869,127.01115417480469
22,548.005905278563,4.822718143463135,127.56587982177734
23,542.921775881469,4.953164577484131,128.7373046875
24,537.9766866996649,4.726973056793213,124.45899963378906
25,533.8142463328405,4.672440052032471,123.21270751953125
26,528.9174444393524,4.797628402709961,127.84040069580078
27,523.9085685821844,4.726256370544434,122.39833068847656
28,520.5378475819299,4.677370548248291,122.99456024169922
29,516.8286816372331,4.757039546966553,123.06600189208984
30,512.2060070785706,4.772283554077148,125.33533477783203
31,508.66566760777766,4.635989665985107,122.696533203125
32,504.37581897157327,4.611377239227295,120.69647216796875
33,501.08254964368587,4.653483867645264,122.5632553100586
34,496.4598645136363,4.738068580627441,125.55480194091797
35,492.5199382766672,4.615463733673096,124.79374694824219
36,489.27753607010027,4.746534824371338,122.57546997070312
37,484.9878785951007,4.7744526863098145,124.08061218261719
38,481.72036007312613,4.554204940795898,122.94507598876953
39,477.5561825880926,4.530276298522949,118.0372314453125
40,473.76843194823164,4.623429298400879,123.88715362548828
41,470.01287569503575,4.752964496612549,124.43917846679688
42,468.38176096733355,4.542720794677734,117.4410400390625
43,464.74949006719254,4.551241874694824,121.59720611572266
44,461.0737122279253,4.62153959274292,119.59261322021484
45,457.1167731713498,4.6509690284729,123.72746276855469
46,454.2119532388167,4.6343584060668945,121.71363067626953
47,450.1175883741576,4.544568061828613,117.62065124511719
48,447.0137248921078,4.497578144073486,116.08497619628906
49,443.77778846432153,4.55452299118042,118.84908294677734
50,440.7330544622786,4.529117584228516,115.55272674560547
51,437.19618464885355,4.61490535736084,116.65836334228516
52,434.56375195561236,4.60720682144165,121.24772644042969
53,430.0748634915471,4.68145227432251,120.25715637207031
54,427.827315271324,4.5340576171875,117.46623229980469
55,424.74197761745285,4.680624485015869,118.49390411376953
56,421.8638533485933,4.5671067237854,116.19712829589844
57,418.06489928087433,4.507158279418945,117.23561096191406
58,414.5077681981623,4.544705390930176,116.49395751953125
59,412.40933644929834,4.715263366699219,115.12535858154297
60,410.2741105261317,4.551177501678467,116.55641174316406
61,406.80736977747097,4.469996929168701,114.51985931396484
62,402.5986676924241,4.51731538772583,114.94776916503906
63,400.90383269500495,4.631621837615967,116.98040771484375
64,397.86555505925105,4.764010906219482,121.01202392578125
65,394.3873715095956,4.488154411315918,111.34955596923828
66,392.32803839377027,4.535099029541016,117.5512466430664
67,388.3162648930304,4.466298580169678,113.71878051757812
68,384.82642069831604,4.497932434082031,118.07955932617188
69,382.4857731742894,4.53711462020874,114.61614990234375
70,380.2448013555345,4.55862283706665,115.72480010986328
71,377.5185193270583,4.6918745040893555,117.12664794921875
72,374.9977131602425,4.54091215133667,112.0960693359375
73,371.0111014921748,4.635192394256592,114.27796936035156
74,369.22274042537606,4.603557586669922,114.0641860961914
75,365.05237774614864,4.558703422546387,110.54198455810547
76,362.57075261642774,4.587784290313721,113.64067840576172
77,358.74614394995564,4.503170490264893,113.94424438476562
78,357.4399919265507,4.559709072113037,112.2799072265625
79,355.1820182552968,4.654905796051025,117.775390625
80,351.86276631415643,4.533811092376709,113.9573974609375
81,349.27009950445256,4.365166187286377,104.56793212890625
82,346.7434161834858,4.7120513916015625,114.91136169433594
83,343.78262695614,4.490659236907959,110.61176300048828
84,341.50592587486614,4.512475490570068,108.62834167480469
85,338.6236452418884,4.538224697113037,109.6935806274414
86,336.6809058476466,4.498410701751709,111.08116912841797
87,333.9521719357525,4.568115711212158,108.39702606201172
88,331.16051625189647,4.619734764099121,115.19129180908203
89,328.6272027397568,4.645226955413818,110.90532684326172
90,326.3913727890161,4.678490161895752,110.32526397705078
91,323.72240867979843,4.536818981170654,107.67442321777344
92,320.4954847834588,4.534992218017578,107.00553131103516
93,318.60177026261664,4.595395088195801,107.56089782714844
94,316.01253854127975,4.549295902252197,110.27351379394531
95,313.6830606204413,4.5493483543396,111.83503723144531
96,311.2993909430084,4.594703197479248,111.50756072998047
97,308.839491229103,4.595432281494141,112.71590423583984
98,306.42562019180906,4.6886796951293945,111.59966278076172
99,303.69681633162844,4.576740741729736,112.35369873046875
100,301.2376228937878,4.502012252807617,107.3354721069336
101,298.7737655710313,4.676185131072998,110.66481018066406
102,297.8753265823689,4.61130952835083,112.16940307617188
103,294.37713682404933,4.720277786254883,112.35540771484375
104,292.20547786852796,4.600912570953369,110.03795623779297
105,289.00860572148343,4.588918209075928,111.06106567382812
106,286.5599046491038,4.626501560211182,111.63800811767578
107,284.9284583454185,4.682291507720947,107.4371109008789
108,283.562359556956,4.835509777069092,115.84412384033203
109,280.69021301175314,4.47159481048584,106.16857147216797
110,278.54087923337886,4.74067497253418,108.54258728027344
111,276.31571902504453,4.822064399719238,120.94881439208984
112,273.77497169845594,4.7027812004089355,114.75878143310547
113,271.4010539936703,4.698607921600342,114.06905364990234
114,269.77300562774667,4.760214328765869,114.19256591796875
115,267.5742821783223,4.622833251953125,108.08737182617188
116,266.06252102971115,4.684875011444092,105.83415985107422
117,263.1204788664971,4.716989040374756,112.25889587402344
118,260.51236444787133,4.703874111175537,113.14636993408203
119,257.9528222833382,4.668636798858643,106.24433898925781
120,257.2721432729723,4.865131378173828,112.19209289550781
121,253.67999734905038,4.735299587249756,110.45596313476562
122,252.84536133566252,5.044727802276611,118.29815673828125
123,250.27406921104063,4.761826515197754,107.90609741210938
124,248.98936978723208,4.690281867980957,107.72346496582031
125,245.8767762285723,4.5751190185546875,104.29058837890625
126,244.22955884282771,4.829014778137207,112.88014221191406
127,242.16739426766256,4.644887447357178,111.7132568359375
128,240.36459126344394,4.830084800720215,109.4600830078125
129,238.52516806526808,4.950771808624268,116.3117446899414
130,236.31354866369375,4.838504314422607,109.62413787841797
131,234.8474253377417,4.801590919494629,112.02713012695312
132,231.61044458976386,4.768856048583984,107.58200073242188
133,230.57828662350576,4.650766372680664,110.6503677368164
134,229.5433805300226,4.701018333435059,114.77932739257812
135,226.63479482351022,4.733972549438477,112.82172393798828
136,224.77579302079664,4.848259449005127,115.73217010498047
137,222.77530067870188,4.593703746795654,98.29864501953125
138,220.39072373223254,4.772242546081543,112.18199920654297
139,218.5138582592947,4.626538276672363,108.45343780517578
140,217.69174248983038,4.666839122772217,105.61494445800781
141,216.7014134104659,4.889565467834473,116.05236053466797
142,213.36461519981543,4.83293342590332,109.08845520019531
143,210.98157524068844,4.785497665405273,111.85490417480469
144,209.49668686888253,4.9525275230407715,117.62252044677734
145,207.4010371567107,4.766685485839844,110.04549407958984
146,206.27937099248328,4.643073081970215,104.74313354492188
147,203.78958116221037,4.794473171234131,114.18173217773438
148,202.9563877945441,4.811037540435791,109.53621673583984
149,200.83550912798756,4.674675464630127,104.48999786376953
150,198.90658316828655,4.853055477142334,109.4870834350586
151,197.95739380523503,5.1072235107421875,115.55815124511719
152,196.68400793732152,4.969977855682373,112.61561584472656
153,194.00119070846307,4.717240333557129,109.3569564819336
154,192.14631272657817,4.742485046386719,106.12686920166016
155,190.1615158274204,4.898582935333252,114.57301330566406
156,189.1922583019119,4.745339870452881,101.76386260986328
157,187.36697682130114,4.706392765045166,102.92122650146484
158,184.68908706010217,4.694260120391846,104.18717193603516
159,183.77686342555603,4.784294128417969,105.87773132324219
160,182.03600566377608,4.9349846839904785,111.82369995117188
161,180.10332545309606,4.948997497558594,116.42794799804688
162,179.85559632271003,5.051039218902588,114.60553741455078
163,177.47521228325076,4.8689045906066895,111.16700744628906
164,175.91088821491218,5.090917110443115,108.84233856201172
165,175.00310587257323,5.213414192199707,116.04024505615234
166,172.99771835171686,4.791147232055664,105.61990356445312
167,171.4401168941016,5.32211971282959,117.48217010498047
168,170.2237912608209,4.934689521789551,111.41088104248047
169,168.63116641632013,5.057582378387451,107.64840698242188
170,166.92764515418924,4.802696228027344,102.26433563232422
171,164.98864892133412,5.179038047790527,119.83671569824219
172,163.9790802897035,4.943397521972656,115.68424987792969
173,162.3919389423819,4.796538829803467,100.66641998291016
174,161.90853729200938,5.008574485778809,110.49876403808594
175,160.0050051230713,5.075048923492432,116.34501647949219
176,158.40210229933132,5.070613861083984,114.28167724609375
177,157.31620471997923,5.169522285461426,109.34062194824219
178,155.36128740348946,4.836153984069824,105.06359100341797
179,154.7282543883128,5.1742262840271,114.69348907470703
180,152.57231602752677,4.9678754806518555,120.01193237304688
181,150.44182376796797,5.029816627502441,115.42854309082031
182,149.6547305609717,5.045012474060059,107.21185302734375
183,148.565379529943,4.959471225738525,108.09017181396484
184,146.3456563357771,5.122849464416504,117.06465911865234
185,145.4548084792549,4.930352687835693,110.37834167480469
186,144.22617704951494,4.897407054901123,104.41787719726562
187,143.40867869137762,5.126172065734863,113.88037109375
188,141.9266943323572,5.380543231964111,120.85790252685547
189,140.72364540488752,5.085756778717041,111.71012115478516
190,139.35889661175926,5.266531944274902,115.51734924316406
191,138.4686911083291,4.88661003112793,109.38145446777344
192,136.67426966413666,5.089728355407715,112.66876220703125
193,136.0727194361791,4.934905052185059,106.32015228271484
194,134.39452716560046,5.073631286621094,112.26309204101562
195,132.92064142654104,5.170731544494629,114.55458068847656
196,131.91141557354882,4.971167087554932,112.26895141601562
197,130.98743515744846,5.305955410003662,124.49683380126953
198,128.7402603582822,4.858502388000488,109.27767944335938
199,127.91899480345663,5.104748725891113,111.21766662597656
200,127.17472842417591,5.37101936340332,122.28263092041016
201,126.70875057728064,5.13367223739624,106.61883544921875
202,124.91016388881644,5.390955924987793,124.59651184082031
203,123.58508650098696,5.17074728012085,109.56407928466797
204,122.9458377245732,5.245797634124756,110.0576400756836
205,120.78190693114782,5.0368475914001465,110.8752212524414
206,120.1318775588033,5.129106521606445,113.68594360351562
207,119.46477385588949,5.403684616088867,119.64030456542969
208,118.1078921980827,4.925122261047363,108.85340118408203
209,116.73779265311589,5.353565692901611,117.72724914550781
210,114.85537182206392,5.0958428382873535,114.40555572509766
211,114.29103528853366,5.077204704284668,112.99394989013672
212,114.56376164605051,5.513369083404541,122.76374053955078
213,112.2856120374255,5.065658092498779,109.13819885253906
214,110.84440012145977,5.120800495147705,106.48577117919922
215,110.21024169639217,5.153555870056152,109.46360778808594
216,108.99266782208849,5.137988090515137,116.04255676269531
217,108.46382461693891,5.039937973022461,108.79917907714844
218,107.49545957748447,5.1121296882629395,110.73661804199219
219,105.9694262978912,5.054131507873535,113.10052490234375
220,104.78653521300761,5.217503070831299,112.17213439941406
221,103.90376549791723,5.064845561981201,111.24041748046875
222,103.18215748998036,5.326019763946533,120.88172149658203
223,102.43120268503432,5.1591033935546875,112.38697052001953
224,101.82338929654787,5.039080619812012,102.28657531738281
225,100.58038029283533,5.259629249572754,116.89161682128906
226,99.59095580903937,5.441263198852539,117.75128173828125
227,98.83220849974946,5.474020957946777,126.23179626464844
