,Fold1,Fold2,Fold3,Fold4
loss,3.015756268940125,2.989868304877026,3.3183282372572465,2.950061153034268
mae,3.015756607055664,2.9898681640625,3.3183281421661377,2.950061321258545
mse,72.78502655029297,74.41295623779297,87.90696716308594,64.35987854003906
rmse,8.254589080810547,7.930760860443115,9.025096893310547,7.686915874481201
pearson,0.8289315700531006,0.8110707402229309,0.7144999504089355,0.8023504614830017
val_loss,1.9867984095772544,2.2411099363679754,1.721830699470017,3.311281661410908
val_mae,1.9867984056472778,2.241109848022461,1.7218307256698608,3.311281681060791
val_mse,9.000134468078613,10.33793830871582,5.553473949432373,36.88491439819336
val_rmse,2.2183547019958496,2.3746323585510254,1.8076177835464478,4.103207588195801
val_pearson,0.8733037710189819,0.8759000301361084,0.7225958704948425,0.8103782534599304
