,MAE,RMSE,R,Lag
2014/15,2.988,3.868,0.844,11.0
2015/16,3.406,4.81,0.808,24.0
2016/17,2.82,3.087,0.889,-10.0
2017/18,5.756,9.262,0.861,19.0
Average,3.743,5.257,0.85,16.0
