,MAE,RMSE,R,Lag
2014/15,2.268,3.184,0.916,0.0
2015/16,2.196,3.14,0.89,9.0
2016/17,2.082,2.864,0.91,-16.0
2017/18,3.853,7.084,0.971,15.0
Average,2.6,4.068,0.922,10.0
