,36,6,31,33
loss,0.6444309920790462,2.0376796476251378,0.6481351774325746,0.6841459855485413
mae,0.6444311141967773,2.03767991065979,0.6481354832649231,0.6841459274291992
mse,3.3899600505828857,58.574005126953125,3.3208274841308594,4.553394317626953
rmse,1.2612003087997437,4.213516712188721,1.2474656105041504,1.349851131439209
pearson,0.9958233833312988,0.9487224221229553,,0.9936405420303345
val_loss,1.653615730558778,1.9487650155204617,1.2057024587641705,3.3205625277299147
val_mae,1.6536157131195068,1.9487650394439697,1.2057024240493774,3.3205623626708984
val_mse,7.883049488067627,8.895416259765625,2.4936914443969727,40.049564361572266
val_rmse,1.8022265434265137,2.187164068222046,1.278427243232727,3.5352203845977783
val_pearson,0.09189141541719437,0.21552400290966034,0.4241476058959961,0.3664892911911011
