,MAE,RMSE,R,Lag
2014/15,2.465,3.099,0.886,3.0
2015/16,3.054,3.828,0.864,24.0
2016/17,2.944,3.344,0.928,-11.0
2017/18,4.819,7.067,0.916,18.0
Average,3.32,4.334,0.898,14.0
