,MAE,RMSE,R,Lag
2014/15,2.32,3.377,0.855,-8.0
2015/16,3.044,4.002,0.83,4.0
2016/17,1.829,2.494,0.897,-25.0
2017/18,2.453,3.561,0.973,8.0
Average,2.412,3.358,0.889,11.0
