,MAE,RMSE,R,Lag
2014/15,2.327,3.92,0.9,23.0
2015/16,3.206,5.34,0.873,-53.0
2016/17,1.756,2.585,0.919,-6.0
2017/18,4.31,8.331,0.974,8.0
Average,2.9,5.044,0.916,22.0
