,Likelihood_Loss,KL_Loss,Loss,mae,mse
0,223.71820068359375,680.3492279052734,[243.9580415350564],[8.548628],[215.32162]
1,225.59921264648438,675.8442459106445,[243.12978408370682],[8.512366],[214.78]
2,219.1267852783203,672.1387100219727,[241.97663661512237],[8.469281],[214.43826]
3,222.79620361328125,668.6157302856445,[240.68353502720745],[8.390115],[212.90651]
4,222.70774841308594,665.0776100158691,[241.54593807099218],[8.451132],[214.10948]
5,226.96676635742188,661.7887001037598,[240.5537223938916],[8.399719],[213.47389]
6,223.17726135253906,658.5298233032227,[240.0531483091884],[8.375287],[212.75667]
7,218.166259765625,655.6116523742676,[239.06571701099003],[8.371439],[212.13658]
8,215.69241333007812,653.2882041931152,[238.48035138875645],[8.315861],[211.40053]
9,219.25823974609375,651.5439453125,[237.25903745534396],[8.330811],[211.42041]
10,219.56329345703125,650.7348365783691,[234.37953642885128],[8.1666765],[208.26076]
11,160.8143768310547,650.4522666931152,[192.47351269609968],[7.2958374],[182.96349]
12,176.39254760742188,650.4065551757812,[136.57391997714683],[5.5633097],[135.27934]
13,196.87193298339844,650.4200057983398,[147.91716521415552],[6.091666],[154.90027]
14,167.98321533203125,650.3311805725098,[114.84473866551002],[5.275426],[111.512085]
15,166.15823364257812,650.1609344482422,[126.79595026185797],[5.9235783],[137.34512]
16,163.2796173095703,650.041332244873,[112.74066051762536],[5.725014],[144.9572]
17,255.63226318359375,649.887638092041,[99.85686807092134],[4.98047],[109.582]
18,240.9872589111328,649.7050590515137,[109.3913921354444],[5.731417],[155.4574]
19,142.3189697265625,649.4193534851074,[74.74842110541162],[4.6338353],[84.9618]
20,160.78892517089844,649.2296295166016,[84.55666765997564],[5.0294003],[97.94073]
21,153.1120147705078,648.9738235473633,[73.15875285608546],[4.7106795],[88.77395]
22,202.54698181152344,648.7223930358887,[72.86768226149114],[4.779073],[86.947395]
23,156.52113342285156,648.5167617797852,[71.82007138161327],[4.8446116],[102.40589]
24,151.2885284423828,648.260669708252,[66.72630745647471],[4.8993764],[106.26282]
25,142.9358367919922,648.045482635498,[64.16613650223123],[4.544304],[98.903114]
26,151.54949951171875,647.7101898193359,[54.79516311638479],[4.362737],[72.8621]
27,153.42124938964844,647.4104080200195,[54.32377835365552],[4.278216],[84.24735]
