,Likelihood_Loss,KL_Loss,Loss,mae,mse
0,250.5072784423828,680.9402160644531,[274.5299491364683],[8.795162],[240.88712]
1,252.4020538330078,676.9065704345703,[274.6372979374613],[8.804862],[241.9188]
2,245.89691162109375,673.2173080444336,[272.8187763739147],[8.760161],[240.11969]
3,249.83799743652344,669.6247062683105,[271.6955747517216],[8.6848],[238.84273]
4,249.3321533203125,666.0180473327637,[271.4128900156626],[8.682993],[239.08914]
5,254.2735137939453,662.42578125,[271.6008713330565],[8.694929],[239.00395]
6,250.0128631591797,659.0674095153809,[270.9556705344915],[8.660163],[239.09941]
7,246.83700561523438,655.7678527832031,[270.77166548596625],[8.655946],[238.5912]
8,244.24864196777344,652.5036277770996,[269.6674556938178],[8.625892],[237.85693]
9,245.7783966064453,649.3441505432129,[269.1490263303737],[8.60108],[237.41049]
10,240.67149353027344,646.2254524230957,[269.3834288519725],[8.615992],[237.54436]
11,244.8572998046875,643.2176513671875,[269.7915953871485],[8.636978],[238.17508]
12,241.59539794921875,640.4879188537598,[267.9757005833616],[8.563933],[236.90837]
13,238.23902893066406,637.9633369445801,[266.3555241312488],[8.516404],[235.92361]
14,238.9069061279297,636.2317733764648,[263.751317825254],[8.46745],[234.19101]
15,233.0494384765625,635.4648361206055,[255.0541766390382],[8.284031],[228.00337]
16,192.63897705078125,635.2283363342285,[198.3876960350846],[6.799303],[179.90996]
17,183.77264404296875,635.1437911987305,[184.08210093926868],[6.953228],[190.00807]
18,430.40936279296875,635.0229988098145,[146.22705479983443],[6.1437106],[146.6198]
19,172.91236877441406,634.9687042236328,[149.48473210468148],[6.221465],[160.0286]
20,194.71092224121094,634.8712348937988,[136.88678117327927],[5.677451],[144.62596]
21,183.7204132080078,634.6859474182129,[122.59707675617972],[5.9061894],[151.49783]
22,237.6812286376953,634.5612373352051,[126.35650886402537],[5.6467896],[148.7152]
23,188.00100708007812,634.3759880065918,[117.68854220783041],[5.6416574],[130.74388]
24,174.14822387695312,634.2199020385742,[99.00169753288833],[5.046957],[110.382454]
25,183.74928283691406,634.0142135620117,[94.646418936726],[5.5561867],[110.227554]
26,183.3444366455078,633.8007392883301,[86.68565662756946],[4.942642],[106.242065]
27,204.15380859375,633.6106796264648,[88.1174483308499],[5.284001],[106.36808]
28,355.14068603515625,633.3656692504883,[82.08026781084794],[4.951717],[96.584045]
29,255.6327667236328,633.1937980651855,[81.18489436633169],[5.249707],[107.8088]
30,224.1988983154297,633.0023307800293,[74.15956525292894],[4.9314675],[105.431435]
31,177.23861694335938,632.650749206543,[72.74352739155044],[4.9536405],[116.152504]
32,165.95066833496094,632.354679107666,[65.82693726743763],[4.671026],[81.45138]
33,193.94692993164062,632.156307220459,[63.534810655964144],[4.463029],[73.43041]
34,186.31394958496094,631.9069976806641,[63.86001689808417],[4.8865523],[96.406586]
35,210.12388610839844,631.5471038818359,[57.80206128851722],[3.977578],[60.68827]
36,182.7791290283203,631.2581977844238,[64.48098837811014],[4.682077],[85.63441]
37,187.83303833007812,630.8637161254883,[57.63780486329511],[4.421727],[91.850784]
38,173.22532653808594,630.4681777954102,[52.44056951501171],[4.1529794],[74.03131]
39,146.73394775390625,630.1166191101074,[54.109608234246],[4.530343],[95.62564]
40,161.24681091308594,629.5961532592773,[45.63002877986784],[3.6159675],[44.94412]
41,149.0384979248047,629.0316009521484,[49.217207786879094],[4.015021],[61.74857]
42,209.7127685546875,628.660041809082,[51.834807455886335],[4.1246204],[80.101845]
43,159.50537109375,628.2343482971191,[50.28768358676924],[4.333442],[76.5187]
44,174.5254669189453,627.8491477966309,[51.09715735816586],[4.1972036],[83.291374]
45,186.69972229003906,627.3742332458496,[49.367779617394085],[4.328545],[74.07847]
46,175.05287170410156,626.7583541870117,[40.517476283886595],[3.5690398],[55.700443]
47,149.09861755371094,626.1010513305664,[42.04720324672381],[3.8940573],[70.352394]
48,146.29779052734375,625.4828109741211,[41.75116328511731],[3.7244217],[62.182407]
49,167.23178100585938,625.0417556762695,[46.93958672919916],[4.677665],[125.35001]
50,163.82452392578125,624.4955291748047,[40.94123599047939],[3.8305504],[65.59313]
51,221.12948608398438,623.7848434448242,[37.99135523732433],[3.632206],[47.127495]
52,159.66464233398438,622.9567184448242,[38.518476728652196],[3.635618],[66.04707]
53,154.06617736816406,622.2333030700684,[39.443723661158096],[3.6606383],[63.222958]
54,162.12811279296875,621.2891006469727,[37.093658885675865],[3.7374718],[72.14222]
55,157.13365173339844,620.5679397583008,[39.88624408799042],[4.1498604],[73.77781]
56,139.6476593017578,619.7552146911621,[37.51464125074135],[3.8050957],[78.53503]
57,138.5014190673828,618.7070274353027,[32.40631542348426],[3.047879],[39.0238]
58,173.35488891601562,617.7207565307617,[34.77484028862969],[3.6066372],[62.43624]
59,145.7686767578125,616.9119911193848,[36.37218544483845],[3.614659],[61.96242]
60,135.1946258544922,616.103759765625,[35.9398869578114],[3.6979334],[51.260956]
61,139.91421508789062,615.3068313598633,[34.4052359064145],[3.5854907],[56.026802]
62,160.5313720703125,614.3003425598145,[31.159728499470376],[3.0560205],[40.420048]
63,151.0826873779297,613.2214965820312,[33.17992896843538],[3.4892876],[50.175846]
64,158.53781127929688,612.1482391357422,[31.908773819979654],[3.2414923],[49.27784]
65,138.28140258789062,611.1033630371094,[32.90062816517401],[3.448899],[55.352406]
66,139.60150146484375,610.0267715454102,[34.31964286164015],[3.7150447],[63.4759]
67,141.4624786376953,608.818229675293,[30.13185787755543],[3.0574849],[44.887455]
68,151.49685668945312,607.6802024841309,[30.587892712466573],[3.3778121],[56.25556]
69,166.94065856933594,606.4975242614746,[29.15837818854603],[3.064489],[49.2673]
70,134.19676208496094,605.3044052124023,[29.63802519190579],[3.15857],[51.663994]
71,118.26777648925781,604.3591003417969,[32.3869976269773],[3.6816487],[57.641224]
72,136.4539337158203,603.2182006835938,[30.652904869149314],[3.3602066],[53.94208]
73,139.85049438476562,602.0496788024902,[28.992635866903065],[3.2723277],[45.695663]
74,141.759033203125,600.8483200073242,[27.98372153211122],[2.8915124],[40.68567]
75,132.99468994140625,599.7183380126953,[30.918121451982927],[3.5478776],[55.4291]
76,112.56656646728516,598.7545471191406,[30.933622762193576],[3.577635],[61.112553]
77,134.69020080566406,597.5729446411133,[29.08572459425566],[3.2824783],[54.85605]
78,133.6328582763672,596.4780807495117,[29.55085668297099],[3.347369],[48.164177]
79,132.03285217285156,595.2775001525879,[30.005735221446567],[3.4752014],[60.440727]
80,140.6287078857422,594.1483192443848,[28.497728898696245],[3.3845584],[56.40464]
81,125.8336181640625,592.889045715332,[28.063817725423235],[3.0863302],[49.222755]
82,133.00015258789062,591.6508941650391,[29.765384913877384],[3.3212173],[45.20953]
83,113.20037078857422,590.192325592041,[26.53844801470435],[2.7769518],[34.40985]
84,116.19277954101562,588.8902549743652,[28.641465691244527],[3.5188346],[51.91192]
85,131.1449737548828,587.5889091491699,[28.518342285663326],[3.6312556],[70.79295]
86,128.72105407714844,586.358699798584,[28.710594245384552],[3.2676928],[44.454777]
87,138.7484588623047,584.9884033203125,[28.854671756635575],[3.2591293],[43.748528]
88,144.0360107421875,583.6922950744629,[26.748598500718966],[2.864097],[34.163273]
