,MAE,RMSE,R,Lag
2014/15,7.793,9.908,0.086,23.0
2015/16,8.158,10.52,0.146,-46.0
2016/17,5.888,7.738,0.201,-2.0
2017/18,10.988,18.01,0.527,20.0
Average,8.207,11.544,0.24,23.0
