,GRU_7_2014/15,GRU_7_2014/16,GRU_7_2014/17,GRU_7_2014/18,GRU_14_2014/15,GRU_14_2014/16,GRU_14_2014/17,GRU_14_2014/18,GRU_21_2014/15,GRU_21_2014/16,GRU_21_2014/17,GRU_21_2014/18,ATTENTION_7_2014/15,ATTENTION_7_2014/16,ATTENTION_7_2014/17,ATTENTION_7_2014/18,ATTENTION_14_2014/15,ATTENTION_14_2014/16,ATTENTION_14_2014/17,ATTENTION_14_2014/18,ATTENTION_21_2014/15,ATTENTION_21_2014/16,ATTENTION_21_2014/17,ATTENTION_21_2014/18
MAE,0.2166985971514767,0.20916236364239554,1.9471598594911939,0.7546760645842386,0.22840623866796772,0.38180802266264297,0.34661270960882834,0.5936445896383893,0.33263853233522384,0.47027112187318265,0.38743099339931814,0.6223095796915058,0.26885999331883764,0.18370030300233445,0.2179379286781714,0.5054362291933556,0.3239104141841299,0.24954571145324647,0.5714078966693408,0.5793970284110604,0.45967692895663687,1.6377658957845433,0.36270043093550475,0.596537255393343
RMSE,0.3680989825494451,0.3575839928831352,2.2895768888730372,1.3970157145675,0.42599643703320517,0.52862626518446,0.48206079083381737,1.1258072907276393,0.5985495445552184,0.7130783837973682,0.5886398093311266,0.9579456510677318,0.44902214269648066,0.3209275883293484,0.3165296331231326,0.8770966818026117,0.5819057571366341,0.4185120445489406,0.7435242684757137,1.0055827977133016,0.7914983193331989,1.8112969644804744,0.6722005616282966,1.0952607269962427
R,0.9783768290258579,0.9019464216461622,,0.9488815749040418,0.9645521547279043,0.7627695173377459,0.9369029191450714,0.8950122107070058,0.891166013619892,0.6740425418920086,0.8758837632033275,0.8902151575282491,0.9817056716697933,0.9179155103653608,0.967147169217639,0.9229389989687676,0.9582734001780294,0.8561926894071346,0.8153797827899892,0.8873953962492748,0.9208888856747467,,0.8568960883578107,0.9072637200285113
